Cidade vazia; Baden Powell e Lula Freire; 484-Cidade vazia-Baden Powell e Lula Freire.pdf
De palavra em palavra; Miltinho, Mauricio Tapajos e Paulo Cesar Pinheiro; 486-De palavra em palavra-Miltinho, Mauricio Tapajos e Paulo Cesar Pinheiro.pdf
Derradeira primavera; Tom Jobim e Vinicius de Moraes; 488-Derradeira primavera-Tom Jobim e Vinicius de Moraes.pdf
Doralice; Dorival Caymmi e Antonio Almeida; 490-Doralice-Dorival Caymmi e Antonio Almeida.pdf
E luxo so; Ary Barroso e Luiz Peixoto ; 492-E luxo so-Ary Barroso e Luiz Peixoto -.pdf
Entrudo; Carlos Lyra e Ruy Guerra; 494-Entrudo-Carlos Lyra e Ruy Guerra.pdf
Espelho das aguas; Tom Jobim; 496-Espelho das aguas-Tom Jobim.pdf
;  Falsa baiana; 500-- Falsa baiana-Geraldo Pereira.pdf
Flora; Gilberto Gil; 502-Flora-Gilberto Gil.pdf
Fotografia; Tom Jobim; 505-Fotografia-Tom Jobim.pdf
Isaura; Herivelto Martins e Roberto Roberti; 506-Isaura-Herivelto Martins e Roberto Roberti.pdf
Janelas abertas; Tom Jobim e Vinicius de Moraes; 508-Janelas abertas-Tom Jobim e Vinicius de Moraes.pdf
Litoral; Toninho Horta e Ronaldo Bastos; 510-Litoral-Toninho Horta e Ronaldo Bastos.pdf
Maria Joana; Sidney Miller; 512-Maria Joana-Sidney Miller.pdf
Memorias de Marta Saré; Edu Lobo e Gianfrancesco Guarnieri; 514-Memorias de Marta Saré-Edu Lobo e Gianfrancesco Guarnieri.pdf
Menina feia; Oscar Castro Neves e Luvercy Fiorini Af; 516-Menina feia-Oscar Castro Neves e Luvercy Fiorini Af.pdf
Menina; moca; 518-Menina-moca-Luiz Antonio.pdf
Menino das laranjas;  Theo de Barros; 520-Menino das laranjas- Theo de Barros.pdf
Meu violao; Sidney Miller; 522-Meu violao-Sidney Miller.pdf
Modinha; Tom Jobim e Vinicius de Moraes; 524-Modinha-Tom Jobim e Vinicius de Moraes.pdf
Morrer de amor; Oscar Castro Neves e Luvercy Fiorini 5; 526-Morrer de amor-Oscar Castro Neves e Luvercy Fiorini 5.pdf
Nada de novo; Paulinho Da Viola; 532-Nada de novo-Paulinho Da Viola.pdf
Nao faz assim; Oscar Castro Neves e Ronaldo Boscoli; 534-Nao faz assim-Oscar Castro Neves e Ronaldo Boscoli.pdf
O amor e a rosa; Pernambuco e Antonio Maria; 536-O amor e a rosa-Pernambuco e Antonio Maria.pdf
O mergulhador; “ Candinho e Lula Freire; 538-O mergulhador-“ Candinho e Lula Freire.pdf
Onde esta vocé; Oscar Castro Neves e Luvercy Fiorini; 542-Onde esta vocé-Oscar Castro Neves e Luvercy Fiorini.pdf
O que eu gosto de voce; Silvio Cesar; 546-O que eu gosto de voce-Silvio Cesar.pdf
Ponteio; Edu Lobo e Capinam; 548-Ponteio-Edu Lobo e Capinam.pdf
Pra machucar meu coracao; Ary Barroso; 550-Pra machucar meu coracao-Ary Barroso.pdf
Pra voce; Silvio Cesar; 552-Pra voce-Silvio Cesar.pdf
_Nao diga nao; Tito Madi e Georges Henry; 554-_Nao diga nao-Tito Madi e Georges Henry.pdf
Praia branca; Tom Jobim e Vinicius de Moraes; 555-Praia branca-Tom Jobim e Vinicius de Moraes.pdf
Recado a solidao; Chico Feitosa; 556-Recado a solidao-Chico Feitosa.pdf
Rosa morena; Dorival Caymmi; 558-Rosa morena-Dorival Caymmi.pdf
MISSING_TITLE_113; Claudio Cartier, Paulo Cesar Feital e Carlao; 560-MISSING_TITLE_113-Claudio Cartier, Paulo Cesar Feital e Carlao.pdf
Samba de Orly; Toquinho, Chico Buarquee Vinicius de Moraes Aye; 562-Samba de Orly-Toquinho, Chico Buarquee Vinicius de Moraes Aye.pdf
Samba do aviao ; Tom Jobim; 564-Samba do aviao -Tom Jobim.pdf
Tema de amor por Gabriela; Tom Jobim; 566-Tema de amor por Gabriela-Tom Jobim.pdf
Tempo de solidao; Ian Guest e Vinicius de Moraes; 568-Tempo de solidao-Ian Guest e Vinicius de Moraes.pdf
Tintim por tintim; Haroldo Barbosa e Geraldo Jacques; 570-Tintim por tintim-Haroldo Barbosa e Geraldo Jacques.pdf
Tudo se transformou; Paulinho Da Viola; 572-Tudo se transformou-Paulinho Da Viola.pdf
Viagem; Joao de Aquino e Paulo Cesar Pinheiro; 574-Viagem-Joao de Aquino e Paulo Cesar Pinheiro.pdf
