Samba em preládio; Baden Powell e Vinicius de Moraes; 88-Samba em preládio-Baden Powell e Vinicius de Moraes.pdf
Saudade fezum samba; Carlos Lyra e Ronaldo Bóscou; 90-Saudade fezum samba-Carlos Lyra e Ronaldo Bóscou.pdf
Só em teas bra90s; Tom Jobim; 91-Só em teas bra90s-Tom Jobim.pdf
Só tinha de ser com voce; Tom Jobim e Aloysio de Oliveira; 92-Só tinha de ser com voce-Tom Jobim e Aloysio de Oliveira.pdf
SODho de Maria; Marcos Valle e Paulo Sérgio Valle; 94-SODho de Maria-Marcos Valle e Paulo Sérgio Valle.pdf
Tem dó; Baden Powell e Vinicius de Moraes; 96-Tem dó-Baden Powell e Vinicius de Moraes.pdf
Ve; Roberto Menescal e Lula Freire; 98-Ve-Roberto Menescal e Lula Freire.pdf
Velhos tempos; Carlos Lyra e Marino Pinto; 100-Velhos tempos-Carlos Lyra e Marino Pinto.pdf
Voce; Roberto Menescal e Ronaldo Bóscou; 102-Voce-Roberto Menescal e Ronaldo Bóscou.pdf
Voce e ea; Carlos Lyra e Vinicius de Moraes; 104-Voce e ea-Carlos Lyra e Vinicius de Moraes.pdf
A noiva da cidade; Francis Hime e Chico Buarque; 105-A noiva da cidade-Francis Hime e Chico Buarque.pdf
Aguas de marco; Tom Jobim; 108-Aguas de marco-Tom Jobim.pdf
Ana Luiza; Tom Jobim; 111-Ana Luiza-Tom Jobim.pdf
Amei tanto; Baden Powell e Vinicius de Moraes; 114-Amei tanto-Baden Powell e Vinicius de Moraes.pdf
Apelo; Baden Powell e Vinicius de Moraes; 116-Apelo-Baden Powell e Vinicius de Moraes.pdf
Auséncia de vocé; Sergio Ricardo; 118-Auséncia de vocé-Sergio Ricardo.pdf
Blocodo eu sozinho; Marcos Valle e Ruy Guerra; 121-Blocodo eu sozinho-Marcos Valle e Ruy Guerra.pdf
Berimbau; Baden Powell e Vinicius de Moraes C; 124-Berimbau-Baden Powell e Vinicius de Moraes C.pdf
Bye, bye Brasil; Roberto Menescal e Chico Buarque; 126-Bye, bye Brasil-Roberto Menescal e Chico Buarque.pdf
Desejo do mar; Marcos Valle e Paulo Sergio Valle; 129-Desejo do mar-Marcos Valle e Paulo Sergio Valle.pdf
Cancao que morre no ar ; ¢ Carlos Lyra e Ronaldo Boscoli 2; 132-Cancao que morre no ar -¢ Carlos Lyra e Ronaldo Boscoli 2.pdf
Chove chuva; 7 Jorge Benjor; 134-Chove chuva-7 Jorge Benjor.pdf
J Este seu olhar; 7] F Tom Jobim; 135-J Este seu olhar-7] F Tom Jobim.pdf
Coisa mais linda; T Carlos Lyrae Vinicius de Moraes; 136-Coisa mais linda-T Carlos Lyrae Vinicius de Moraes.pdf
Desafinado _; ‘ Tom Jobim e Newton Mendonca; 138-Desafinado _-‘ Tom Jobim e Newton Mendonca.pdf
De manha 7; F Caetano Veloso ; 140-De manha 7-F Caetano Veloso -.pdf
Songbook 0 Bossa Nova 4;  Johnny Alf —; 142-Songbook 0 Bossa Nova 4- Johnny Alf —.pdf
Songbook D Bossa Nowa Tt; ¢ Tom Jobim e Vinicius de Moraes; 144-Songbook D Bossa Nowa Tt-¢ Tom Jobim e Vinicius de Moraes.pdf
_ Faz parte do meu show; Renato Ladeirae Cazuza; 145-_ Faz parte do meu show-Renato Ladeirae Cazuza.pdf
Eu vim da Bahia; ‘ Gilberto Gil; 146-Eu vim da Bahia-‘ Gilberto Gil.pdf
Feitinha pro poeta; J Baden Powell; 148-Feitinha pro poeta-J Baden Powell.pdf
Fim de noite; Chico Feitosa e Ronaldo Boscoli F; 150-Fim de noite-Chico Feitosa e Ronaldo Boscoli F.pdf
Minha Saudade; Joao Donato e Joao Gilberto; 151-mn-Joao Donato e Joao Gilberto.pdf
Foi a noite; U Tom Jobim; 152-Foi a noite-U Tom Jobim.pdf
Ilusao a toa; ¢ Johnny Alf; 156-Ilusao a toa-¢ Johnny Alf.pdf
Lobo bobo; Carlos Lyra e Ronaldo Boscoli; 158-Lobo bobo-Carlos Lyra e Ronaldo Boscoli.pdf
Lugar comum;  Joao Donato e Gilberto Gil; 160-Lugar comum- Joao Donato e Gilberto Gil.pdf
Manha de carnaval;  Luiz Bonfa e Antonio Maria; 162-Manha de carnaval- Luiz Bonfa e Antonio Maria.pdf
Marcha da quarta; feira de cinzas; 164-Marcha da quarta-feira de cinzas-Carlos Lyra e Vinicius de Moraes.pdf
Maria Moita; F Carlos Lyrae Vinicius de Moraes; 166-Maria Moita-F Carlos Lyrae Vinicius de Moraes.pdf
Me perdoe Maria;  Gilberto Gil; 168-Me perdoe Maria- Gilberto Gil.pdf
Minha; Francis Hime e Ruy Guerra; 170-Minha-Francis Hime e Ruy Guerra.pdf
O negocio é amar; Carlos Lyra e Dolores Duran; 172-O negocio é amar-Carlos Lyra e Dolores Duran.pdf
O nosso amor; T Tom Jobim e Vinicius de Moraes; 174-O nosso amor-T Tom Jobim e Vinicius de Moraes.pdf
Samba torto; Tom Jobim e Aloysio de Oliveira; 175-Samba torto-Tom Jobim e Aloysio de Oliveira.pdf
O nosso olhar; Sergio Ricardo; 176-O nosso olhar-Sergio Ricardo.pdf
O que é amar; Johnny Alf; 178-O que é amar-Johnny Alf.pdf
O que tinha de ser; Tom Jobim e Vinicius de Moraes; 180-O que tinha de ser-Tom Jobim e Vinicius de Moraes.pdf
Outra vez; ¢ Tom Jobim; 182-Outra vez-¢ Tom Jobim.pdf
Por causa de vocé; Tom Jobim e Dolores Duran; 184-Por causa de vocé-Tom Jobim e Dolores Duran.pdf
Quando chegares; Carlos Lyra; 186-Quando chegares-Carlos Lyra.pdf
Rapaz de bem;   Johnny Alf; 188-Rapaz de bem-  Johnny Alf.pdf
Sabe voce; ‘ Carlos Lyra e Vinicius de Moraes; 190-Sabe voce-‘ Carlos Lyra e Vinicius de Moraes.pdf
Samba da bencao; Baden Powell e Vinicius de Moraes; 192-Samba da bencao-Baden Powell e Vinicius de Moraes.pdf
Samba da pergunta;  G ¢ Pingarilho e Marcos Vasconcelos; 194-Samba da pergunta- G ¢ Pingarilho e Marcos Vasconcelos.pdf
Samba do carioca; Carlos Lyra e Vinicius de Moraes; 196-Samba do carioca-Carlos Lyra e Vinicius de Moraes.pdf
Samba do carioca; Carlos Lyra e Vinicius de Moraes; 197-Samba do carioca-Carlos Lyra e Vinicius de Moraes.pdf
Seu encanto; “Marcos Valle, Pingarilho e Paulo Sergio Valle; 198-Seu encanto-“Marcos Valle, Pingarilho e Paulo Sergio Valle.pdf
Sem mais adeus; Francis Hime e Vinicius de Moraes; 199-Sem mais adeus-Francis Hime e Vinicius de Moraes.pdf
So danco samba;  Tom Jobim e Vinicius de Moraes; 201-So danco samba- Tom Jobim e Vinicius de Moraes.pdf
Tete; “ Roberto Menescal e Ronaldo Boscoli; 202-Tete-“ Roberto Menescal e Ronaldo Boscoli.pdf
J Valsa; rancho; 203-J Valsa-rancho-7 ‘ Francis.pdf
Sonho de lugar; F Marcos Valle e Paulo Sergio Valle; 208-Sonho de lugar-F Marcos Valle e Paulo Sergio Valle.pdf
Telefone; Boberto Menescal e Ronaldo Boscoli; 210-Telefone-Boberto Menescal e Ronaldo Boscoli.pdf
Terra de ninguem; Marcos Valle e Paulo Sergio Valle; 212-Terra de ninguem-Marcos Valle e Paulo Sergio Valle.pdf
Trocando em mitudos; I Francis Hime e Chico Buarque; 214-Trocando em mitudos-I Francis Hime e Chico Buarque.pdf
Ultimo canto; Francis Hime e Ruy Guerra; 216-Ultimo canto-Francis Hime e Ruy Guerra.pdf
Vagamente; Roberto Menescal e Ronaldo Boscoli; 218-Vagamente-Roberto Menescal e Ronaldo Boscoli.pdf
